,brand,product,color,rgb,rgb0,hex,x,y,r0,g0,b0
0,HUDA BEAUTY,Power Bullet Lipstick,Ladies Night,"(113, 40, 47)","(255, 0, 24)",#71282f,164,113,255,0,24
1,HUDA BEAUTY,Power Bullet Lipstick,Pay Day,"(158, 79, 84)","(255, 0, 16)",#9e4f54,127,158,255,0,16
2,HUDA BEAUTY,Power Bullet Lipstick,Third Date,"(163, 79, 77)","(255, 6, 0)",#a34f4d,134,163,255,6,0
3,HUDA BEAUTY,Power Bullet Lipstick,Joyride,"(165, 96, 89)","(255, 23, 0)",#a56059,117,165,255,23,0
4,HUDA BEAUTY,Power Bullet Lipstick,Interview,"(189, 102, 93)","(255, 24, 0)",#bd665d,129,189,255,24,0
5,HUDA BEAUTY,Power Bullet Lipstick,Pool Party,"(162, 83, 89)","(255, 0, 19)",#a25359,124,162,255,0,19
6,HUDA BEAUTY,Power Bullet Lipstick,Graduation Day,"(149, 79, 69)","(255, 32, 0)",#954f45,136,149,255,32,0
7,HUDA BEAUTY,Power Bullet Lipstick,Promotion Day,"(147, 62, 59)","(255, 9, 0)",#933e3b,152,147,255,9,0
8,HUDA BEAUTY,Power Bullet Lipstick,El Cinco De Mayo,"(160, 56, 47)","(255, 20, 0)",#a0382f,180,160,255,20,0
9,HUDA BEAUTY,Power Bullet Lipstick,Bachelorette,"(190, 62, 85)","(255, 0, 46)",#be3e55,171,190,255,0,46
10,HUDA BEAUTY,Power Bullet Lipstick,Spring Break,"(213, 77, 81)","(255, 0, 7)",#d54d51,162,213,255,0,7
11,HUDA BEAUTY,Power Bullet Lipstick,Honeymoon,"(176, 80, 82)","(255, 0, 5)",#b05052,139,176,255,0,5
12,HUDA BEAUTY,Power Bullet Lipstick,Rendez-Vous,"(189, 104, 99)","(255, 14, 0)",#bd6863,121,189,255,14,0
13,HUDA BEAUTY,Power Bullet Lipstick,Staycation,"(176, 121, 100)","(255, 70, 0)",#b07964,110,176,255,70,0
14,HUDA BEAUTY,Power Bullet Lipstick,Anniversary,"(194, 132, 111)","(255, 65, 0)",#c2846f,109,194,255,65,0
15,HUDA BEAUTY,Power Bullet Lipstick,Wedding day (3 g),"(178, 83, 77)","(255, 15, 0)",#b2534d,144,178,255,15,0
16,HUDA BEAUTY,Power Bullet Lipstick,Dirty Thirty (3 g),"(168, 102, 104)","(255, 0, 8)",#a86668,100,168,255,0,8
17,HUDA BEAUTY,Power Bullet Lipstick,Game Night (3 g),"(164, 96, 77)","(255, 56, 0)",#a4604d,135,164,255,56,0
18,HUDA BEAUTY,Power Bullet Lipstick,Prom Night (3 g),"(199, 115, 105)","(255, 27, 0)",#c77369,120,199,255,27,0
19,HUDA BEAUTY,Power Bullet Lipstick,Girls Trip (3 g),"(187, 110, 104)","(255, 18, 0)",#bb6e68,113,187,255,18,0
20,HUDA BEAUTY,Power Bullet Lipstick,Last Night (3 g),"(162, 102, 78)","(255, 73, 0)",#a2664e,132,162,255,73,0
21,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,GRISELDA,"(79, 26, 36)","(255, 0, 48)",#4f1a24,171,79,255,0,48
22,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,SPANKED,"(188, 76, 88)","(255, 0, 27)",#bc4c58,151,188,255,0,27
23,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,YA DIG?!,"(104, 131, 198)","(0, 73, 255)",#6883c6,121,198,0,73,255
24,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,MIDNIGHT WASABI,"(79, 97, 73)","(64, 255, 0)",#4f6149,63,97,64,255,0
25,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,ONE OF THE BOYZ,"(171, 139, 206)","(122, 0, 255)",#ab8bce,82,206,122,0,255
26,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,FRECKLE FIESTA,"(181, 106, 83)","(255, 60, 0)",#b56a53,138,181,255,60,0
27,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,PMS,"(94, 56, 43)","(255, 65, 0)",#5e382b,138,94,255,65,0
28,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,SHAWTY,"(159, 87, 63)","(255, 64, 0)",#9f573f,153,159,255,64,0
29,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Tiger Tini,"(221, 51, 36)","(255, 21, 0)",#dd3324,213,221,255,21,0
30,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Pumpkin Rose,"(203, 110, 43)","(255, 107, 0)",#cb6e2b,200,203,255,107,0
31,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,THICC,"(176, 93, 101)","(255, 0, 25)",#b05d65,120,176,255,0,25
32,FENTY BEAUTY BY RIHANNA,Mattemoiselle Plush Matte Läppstift,Ballerina Blackout,"(221, 123, 161)","(255, 0, 99)",#dd7ba1,113,221,255,0,99
