brand,product,color,rgb,rgb0,hex
HUDA BEAUTY,Power Bullet Lipstick,Ladies Night,"(113, 40, 47)","(255, 0, 24)",#71282f
HUDA BEAUTY,Power Bullet Lipstick,Pay Day,"(158, 79, 84)","(255, 0, 16)",#9e4f54
HUDA BEAUTY,Power Bullet Lipstick,Third Date,"(163, 79, 77)","(255, 6, 0)",#a34f4d
HUDA BEAUTY,Power Bullet Lipstick,Joyride,"(165, 96, 89)","(255, 23, 0)",#a56059
HUDA BEAUTY,Power Bullet Lipstick,Interview,"(189, 102, 93)","(255, 24, 0)",#bd665d
HUDA BEAUTY,Power Bullet Lipstick,Pool Party,"(162, 83, 89)","(255, 0, 19)",#a25359
HUDA BEAUTY,Power Bullet Lipstick,Graduation Day,"(149, 79, 69)","(255, 32, 0)",#954f45
HUDA BEAUTY,Power Bullet Lipstick,Promotion Day,"(147, 62, 59)","(255, 9, 0)",#933e3b
HUDA BEAUTY,Power Bullet Lipstick,El Cinco De Mayo,"(160, 56, 47)","(255, 20, 0)",#a0382f
HUDA BEAUTY,Power Bullet Lipstick,Bachelorette,"(190, 62, 85)","(255, 0, 46)",#be3e55
HUDA BEAUTY,Power Bullet Lipstick,Spring Break,"(213, 77, 81)","(255, 0, 7)",#d54d51
HUDA BEAUTY,Power Bullet Lipstick,Honeymoon,"(176, 80, 82)","(255, 0, 5)",#b05052
HUDA BEAUTY,Power Bullet Lipstick,Rendez-Vous,"(189, 104, 99)","(255, 14, 0)",#bd6863
HUDA BEAUTY,Power Bullet Lipstick,Staycation,"(176, 121, 100)","(255, 70, 0)",#b07964
HUDA BEAUTY,Power Bullet Lipstick,Anniversary,"(194, 132, 111)","(255, 65, 0)",#c2846f
HUDA BEAUTY,Power Bullet Lipstick,Wedding day (3 g),"(178, 83, 77)","(255, 15, 0)",#b2534d
HUDA BEAUTY,Power Bullet Lipstick,Dirty Thirty (3 g),"(168, 102, 104)","(255, 0, 8)",#a86668
HUDA BEAUTY,Power Bullet Lipstick,Game Night (3 g),"(164, 96, 77)","(255, 56, 0)",#a4604d
HUDA BEAUTY,Power Bullet Lipstick,Prom Night (3 g),"(199, 115, 105)","(255, 27, 0)",#c77369
HUDA BEAUTY,Power Bullet Lipstick,Girls Trip (3 g),"(187, 110, 104)","(255, 18, 0)",#bb6e68
